wind_scen,price_scen,imb_scen,profit_EUR
w9,p20,i2,57037.910083111696
w9,p20,i3,58852.886748005316
w9,p20,i4,56729.735019946806
w10,p1,i1,536011.3028131649
w10,p1,i2,536220.0734454787
w10,p1,i3,536477.6236303191
w10,p1,i4,540919.9046097074
w10,p2,i1,396365.7980026596
w10,p2,i2,397462.2513636968
w10,p2,i3,394582.90852327127
w10,p2,i4,400180.3873716755
w10,p3,i1,329476.24084840424
w10,p3,i2,328277.35107180855
w10,p3,i3,330283.69936702127
w10,p3,i4,332878.43374534574
w10,p4,i1,591096.9818111702
w10,p4,i2,593040.616049867
w10,p4,i3,590196.2873836437
w10,p4,i4,597293.6916795213
w10,p5,i1,446371.30175465427
w10,p5,i2,446209.00181848404
w10,p5,i3,445909.81035837764
w10,p5,i4,450445.0276555851
w10,p6,i1,558077.5361043883
w10,p6,i2,558276.4122047873
w10,p6,i3,557181.7342533245
w10,p6,i4,563277.9793484043
w10,p7,i1,459034.02540292556
w10,p7,i2,459758.55378125
w10,p7,i3,457096.6076482713
w10,p7,i4,462907.73334109044
w10,p8,i1,42410.64666755319
w10,p8,i2,42432.955144281914
w10,p8,i3,42049.39838231383
w10,p8,i4,42649.85804454787
w10,p9,i1,20889.238061170214
w10,p9,i2,20849.906393617024
w10,p9,i3,20871.82178257979
w10,p9,i4,21198.914537234046
w10,p10,i1,189251.90077526597
w10,p10,i2,189607.18567220744
w10,p10,i3,188841.61820611704
w10,p10,i4,191766.11270545213
w10,p11,i1,425443.28944414895
w10,p11,i2,424900.0371057181
w10,p11,i3,425522.7002779255
w10,p11,i4,429515.4885551862
w10,p12,i1,595290.8501476063
w10,p12,i2,595385.0974009308
w10,p12,i3,594901.4846256649
w10,p12,i4,601034.4071668884
w10,p13,i1,755364.8033517287
w10,p13,i2,755739.8044261968
w10,p13,i3,754892.5784900266
w10,p13,i4,762560.3730890958
w10,p14,i1,623398.8201535904
w10,p14,i2,623693.89909375
w10,p14,i3,622008.5706582447
w10,p14,i4,629027.6944660904
w10,p15,i1,307004.83047340426
w10,p15,i2,308100.93387034576
w10,p15,i3,304884.5486389628
w10,p15,i4,309183.28164428193
w10,p16,i1,371460.35959375
w10,p16,i2,370586.3105545213
w10,p16,i3,371605.35282180854
w10,p16,i4,374765.0557087766
w10,p17,i1,380727.97366289893
w10,p17,i2,382030.5781515958
w10,p17,i3,379637.0091968085
w10,p17,i4,384905.60054654256
w10,p18,i1,646132.5719095744
w10,p18,i2,646762.2698517287
w10,p18,i3,645768.9511323138
w10,p18,i4,652292.8168257979
w10,p19,i1,365062.4857014628
w10,p19,i2,366569.58706981386
w10,p19,i3,363098.4495199468
w10,p19,i4,368280.18495412235
w10,p20,i1,122965.04339428192
w10,p20,i2,124015.76923803192
w10,p20,i3,122637.11873005319
w10,p20,i4,124275.83267952128
w11,p1,i1,453472.2853198138
w11,p1,i2,449318.4434980053
w11,p1,i3,453008.33548204787
w11,p1,i4,451854.27543218085
w11,p2,i1,339477.7443517287
w11,p2,i2,337969.65350066486
w11,p2,i3,337857.56704255316
w11,p2,i4,340113.4461502659
w11,p3,i1,277822.48865093087
w11,p3,i2,274090.27572340425
w11,p3,i3,278070.66987167555
w11,p3,i4,276901.1091755319
